2026-08-01 04:09:31.097 | INFO     | __main__:main:7 - MiniAgent 启动
2026-08-01 04:09:31.097 | WARNING  | __main__:main:10 - 警告示例
2026-08-01 04:09:31.098 | SUCCESS  | __main__:main:11 - 初始化完成
2026-08-01 04:09:43.346 | DEBUG    | __main__:<module>:1 - DEBUG 可见
2026-08-01 04:09:43.346 | INFO     | __main__:<module>:1 - INFO 可见
2026-08-01 04:10:59.400 | INFO     | __main__:main:7 - MiniAgent 启动
2026-08-01 04:10:59.400 | DEBUG    | __main__:main:9 - debug 级别日志(需要 LOG_LEVEL=DEBUG 才显示)
2026-08-01 04:10:59.401 | WARNING  | __main__:main:10 - 警告示例
2026-08-01 04:10:59.401 | SUCCESS  | __main__:main:11 - 初始化完成
2026-08-01 04:11:04.325 | INFO     | __main__:main:7 - MiniAgent 启动
2026-08-01 04:11:04.325 | DEBUG    | __main__:main:9 - debug 级别日志(需要 LOG_LEVEL=DEBUG 才显示)
2026-08-01 04:11:04.325 | WARNING  | __main__:main:10 - 警告示例
2026-08-01 04:11:04.325 | SUCCESS  | __main__:main:11 - 初始化完成
2026-08-01 04:12:16.318 | INFO     | __main__:main:7 - MiniAgent 启动
2026-08-01 04:12:16.319 | WARNING  | __main__:main:10 - 警告示例
2026-08-01 04:12:16.320 | SUCCESS  | __main__:main:11 - 初始化完成
